time,cpi_mom,cpi_yoy,cpi_mom_smoothed,cpi_yoy_smoothed,cpi_mom_log,cpi_yoy_log,cpi_yoy_diff,interest_rate,month,year,cpi_mom_rolling_mean,cpi_mom_rolling_std,cpi_yoy_rolling_mean,cpi_yoy_rolling_std,cpi_mom_diff
2006-02-01,102.1,108.39,100.93333333333332,108.31666666666666,4.625952725170619,4.685735833827659,-0.4299999999999926,5.701397155468049,2,2006,100.675,0.5293649711941306,108.16083333333331,0.48530137465623097,102.1
2006-03-01,99.5,107.74,100.60000000000001,107.81333333333333,4.600157644164547,4.6797209172523875,-0.6500000000000057,4.29907446860386,3,2006,100.625,0.6107000454025071,108.1075,0.49411307134453486,99.5
2006-04-01,100.2,107.31,100.10000000000001,107.49000000000001,4.607168188650764,4.675721841939036,-0.4299999999999926,5.293428546900135,4,2006,100.59166666666668,0.622981589299501,108.00916666666667,0.5273683951880549,100.2
2006-05-01,100.6,107.42,100.39999999999999,107.38333333333333,4.611152257665639,4.676746384477314,0.10999999999999943,6.095227812904989,5,2006,100.60000000000001,0.6223124032773254,107.95583333333333,0.5534759308781239,100.6
2006-06-01,100.4,107.42,100.46666666666668,107.42,4.609162207257629,4.676746384477314,0.0,4.504731837434655,6,2006,100.60000000000001,0.6223124032773254,107.93833333333333,0.567848144447364,100.4
2006-07-01,100.4,107.42,100.4,107.42,4.609162207257629,4.676746384477314,0.0,4.716851135198614,7,2006,100.60000000000001,0.6223124032773254,107.93,0.5752311788243988,100.4
2006-08-01,100.4,107.42,100.36666666666667,107.24333333333334,4.609162207257629,4.676746384477314,0.0,5.049825682543821,8,2006,100.60000000000001,0.6223124032773254,107.93916666666667,0.5652426403103726,100.4
2006-09-01,100.3,106.89,100.3,106.99333333333334,4.60816569496789,4.671800268285854,-0.5300000000000011,4.7482621729419,9,2006,100.55833333333334,0.6244391422903496,107.85916666666667,0.6417654390730915,100.3
2006-10-01,100.2,106.67,100.36666666666667,106.81666666666666,4.607168188650764,4.669739956637391,-0.21999999999999886,4.224668284466934,10,2006,100.54166666666667,0.6316764611058521,107.72500000000001,0.7104096129576363,100.2
2006-11-01,100.6,106.89,100.43333333333334,106.71,4.611152257665639,4.671800268285854,0.21999999999999886,5.034281487403014,11,2006,100.55833333333334,0.6302356461650156,107.59166666666665,0.7038960839289431,100.6
