time,cpi,oil_price,gold_price,interest_rate,cpi_smoothed,cpi_log,month,year,cpi_diff,cpi_rolling_mean,cpi_rolling_std
1998-10-01,100.3,14.42,293.7,24.61842105263158,100.46666666666665,4.60816569496789,10,1998,-0.7000000000000028,100.76666666666667,0.9118745261905015
1998-11-01,100.1,11.22,295.1,24.64877192982456,100.39999999999999,4.6061696863211745,11,1998,-0.20000000000000284,100.75,0.9229399665298834
1998-12-01,100.8,12.05,289.2,24.679122807017546,100.86666666666666,4.613138355637268,12,1998,0.7000000000000028,100.73333333333335,0.9198155282776034
1999-01-01,101.7,12.75,288.2,24.70947368421053,101.46666666666668,4.622027303054514,1,1999,0.9000000000000057,100.74166666666666,0.9287903504836366
1999-02-01,101.9,12.27,288.3,24.73982456140351,100.96666666666665,4.623991940228679,2,1999,0.20000000000000284,100.71666666666665,0.8891603120956659
1999-03-01,99.3,16.76,281.9,24.770175438596493,100.2,4.598145571051127,3,1999,-2.6000000000000085,100.72500000000001,0.8739929269528673
1999-04-01,99.4,18.66,287.8,24.80052631578948,99.43333333333332,4.599152113662528,4,1999,0.10000000000000853,100.54166666666667,0.9039894743286458
1999-05-01,99.6,16.84,272.0,24.830877192982456,99.56666666666666,4.601162164590552,5,1999,0.19999999999998863,100.39166666666667,0.8979353422089456
1999-06-01,99.7,19.29,263.6,24.86122807017544,99.63333333333333,4.602165676967792,6,1999,0.10000000000000853,100.36666666666667,0.9138662457665959
1999-07-01,99.6,20.53,258.8,24.891578947368423,99.63333333333333,4.601162164590552,7,1999,-0.10000000000000853,100.375,0.9056639954902095
1999-08-01,99.6,22.11,257.3,24.921929824561403,99.53333333333335,4.601162164590552,8,1999,0.0,100.25,0.9000000000000107
1999-09-01,99.4,24.51,299.5,24.952280701754383,99.33333333333333,4.599152113662528,9,1999,-0.19999999999998863,100.11666666666666,0.897302354366428
1999-10-01,99.0,21.75,300.3,24.98263157894737,99.60000000000001,4.59511985013459,10,1999,-0.4000000000000057,100.00833333333333,0.9500797414699129
1999-11-01,100.4,24.59,293.0,25.012982456140357,99.96666666666665,4.609162207257629,11,1999,1.4000000000000057,100.03333333333335,0.956635518445524
1999-12-01,100.5,25.6,289.6,25.043333333333333,100.43333333333334,4.61015772749913,12,1999,0.09999999999999432,100.00833333333333,0.9385272150200843
2000-01-01,100.4,27.64,286.2,25.07368421052632,100.83333333333333,4.609162207257629,1,2000,-0.09999999999999432,99.90000000000002,0.7885544888073417
2000-02-01,101.6,30.43,294.2,25.1040350877193,100.30000000000001,4.6210435351443815,2,2000,1.1999999999999886,99.875,0.7212678231609232
2000-03-01,98.9,26.9,281.4,25.134385964912283,99.93333333333332,4.594109238628667,3,2000,-2.6999999999999886,99.84166666666668,0.758537268615597
2000-04-01,99.3,25.74,274.7,25.164736842105263,99.2,4.598145571051127,4,2000,0.3999999999999915,99.83333333333333,0.7643575238345259
2000-05-01,99.4,29.01,274.8,25.195087719298247,99.39999999999999,4.599152113662528,5,2000,0.10000000000000853,99.81666666666666,0.7720496137299916
2000-06-01,99.5,32.5,291.5,25.22543859649123,99.43333333333334,4.600157644164547,6,2000,0.09999999999999432,99.8,0.7769403861535242
2000-07-01,99.4,27.43,283.2,25.25578947368421,99.66666666666667,4.599152113662528,7,2000,-0.09999999999999432,99.78333333333335,0.783736195567391
2000-08-01,100.1,33.12,282.1,25.286140350877197,99.76666666666667,4.6061696863211745,8,2000,0.6999999999999886,99.82499999999999,0.7863899102284521
2000-09-01,99.8,30.84,276.9,25.316491228070177,100.0,4.603168183317418,9,2000,-0.29999999999999716,99.85833333333335,0.7751343969489125
2000-10-01,100.1,32.7,266.4,25.34684210526316,100.26666666666667,4.6061696863211745,10,2000,0.29999999999999716,99.95,0.7280109889280642
2000-11-01,100.9,33.82,273.3,25.37719298245614,100.36666666666666,4.6141299273595635,11,2000,0.8000000000000114,99.99166666666667,0.7692479601808784
2000-12-01,100.1,26.8,273.6,25.407543859649124,100.43333333333334,4.6061696863211745,12,2000,-0.8000000000000114,99.95833333333333,0.7537281078784835
2001-01-01,100.3,28.66,268.0,25.437894736842107,100.26666666666665,4.60816569496789,1,2001,0.20000000000000284,99.94999999999999,0.7489386429535526
2001-02-01,100.4,27.39,267.8,25.468245614035087,100.0,4.609162207257629,2,2001,0.10000000000000853,99.85000000000001,0.5664883855023966
2001-03-01,99.3,26.29,259.2,25.49859649122807,99.73333333333333,4.598145571051127,3,2001,-1.1000000000000085,99.88333333333333,0.5149286505444594
2001-04-01,99.5,28.46,264.4,25.52894736842105,99.53333333333335,4.600157644164547,4,2001,0.20000000000000284,99.89999999999999,0.49726524840647174
2001-05-01,99.8,28.37,266.9,25.55929824561404,99.76666666666665,4.603168183317418,5,2001,0.29999999999999716,99.93333333333334,0.47354242074226904
2001-06-01,100.0,26.25,271.3,25.589649122807018,99.86666666666666,4.605170185988092,6,2001,0.20000000000000284,99.97500000000001,0.45352157410849087
2001-07-01,99.8,26.35,269.2,25.62,99.93333333333334,4.603168183317418,7,2001,-0.20000000000000284,100.00833333333333,0.4209477042305815
2001-08-01,100.0,27.2,276.5,24.05,100.10000000000001,4.605170185988092,8,2001,0.20000000000000284,100.0,0.4199567077255267
2001-09-01,100.5,23.43,294.0,24.8,100.16666666666667,4.61015772749913,9,2001,0.5,100.05833333333332,0.437884030586244
2001-10-01,100.0,21.18,280.5,21.2,100.23333333333333,4.605170185988092,10,2001,-0.5,100.05,0.43797052619806726
