time,cpi_mom,cpi_yoy,oil_price,gold_price,interest_rate,cpi_mom_smoothed,cpi_yoy_smoothed,cpi_mom_log,cpi_yoy_log,cpi_yoy_diff,month,year,cpi_mom_diff,cpi_mom_rolling_mean,cpi_mom_rolling_std,cpi_yoy_rolling_mean,cpi_yoy_rolling_std
2011-09-01,100.82,122.42,79.2,1622.3,11.64,100.70333333333333,122.34333333333332,4.6133367486544845,4.807457755422924,-0.5999999999999943,9,2011,-0.11000000000001364,101.7025,0.7265000156419761,116.38166666666666,5.0596313795543075
2011-10-01,100.36,121.59,93.19,1725.2,11.399,100.52333333333333,121.27999999999999,4.608763721498222,4.800654729308327,-0.8299999999999983,10,2011,-0.45999999999999375,101.645,0.8058140999243305,117.37583333333335,4.783343179168517
2011-11-01,100.39,119.83,100.36,1750.3,10.849,100.42666666666666,119.84999999999998,4.609062600703435,4.786074071694426,-1.7600000000000051,11,2011,0.030000000000001137,101.5225,0.8786055584124051,118.10416666666667,4.388307725874606
2011-12-01,100.53,118.13,98.83,1566.8,10.69,100.63999999999999,118.40999999999998,4.610456190417329,4.771785712960429,-1.7000000000000028,12,2011,0.14000000000000057,101.40166666666666,0.9091437863412053,118.63583333333332,3.9087651115116646
2012-01-01,101.0,117.27,98.48,1740.4,10.315,100.96666666666665,117.27999999999999,4.61512051684126,4.764478968472973,-0.8599999999999994,1,2012,0.46999999999999886,101.33999999999999,0.9092054473302064,119.06083333333332,3.3838371396803253
2012-02-01,101.37,116.44,107.07,1711.3,9.919,100.84333333333332,115.95333333333332,4.618777189394308,4.757376118877422,-0.8299999999999983,2,2012,0.37000000000000455,101.27999999999999,0.878449046486521,119.40499999999999,2.7932955446928944
2012-03-01,100.16,114.15,103.02,1671.9,9.275,100.52666666666666,113.71,4.606768907351788,4.737513372975805,-2.289999999999992,3,2012,-1.210000000000008,101.1125,0.8849255233173398,119.42666666666668,2.747257585743539
2012-04-01,100.05,110.54,104.87,1664.2,8.732,100.13,111.00999999999999,4.605670061029742,4.705377446405117,-3.6099999999999994,4,2012,-0.10999999999999943,100.83999999999999,0.6014225560363339,118.84583333333335,3.7449662174308194
2012-05-01,100.18,108.34,86.53,1564.2,8.323,99.99000000000001,108.59333333333332,4.606968567929471,4.685274430229753,-2.200000000000003,5,2012,0.13000000000000966,100.67083333333333,0.4466126719966692,117.89249999999998,4.794563445858725
2012-06-01,99.74,106.9,84.96,1604.2,8.06,99.87666666666667,106.86333333333333,4.602566800117977,4.671893818030999,-1.4399999999999977,6,2012,-0.44000000000001194,100.55833333333334,0.49844910989146923,116.7325,5.632566224442305
2012-07-01,99.71,105.35,88.06,1614.6,7.79,100.02666666666666,105.76333333333332,4.602265972840701,4.6572881402501976,-1.5500000000000114,7,2012,-0.030000000000001137,100.43666666666667,0.5135320355296116,115.33166666666666,6.2197585941656826
2012-08-01,100.63,105.04,96.47,1687.6,7.347,100.84666666666665,105.62333333333333,4.611450423945242,4.65434122999454,-0.30999999999998806,8,2012,0.9200000000000017,100.41166666666665,0.4942732651136258,113.83333333333336,6.363298649047558
2012-09-01,102.2,106.48,92.19,1773.9,7.293,101.22666666666667,106.17333333333333,4.626931677769604,4.667957174086856,1.4399999999999977,9,2012,1.5700000000000074,100.52666666666666,0.7109575276067345,112.505,6.064608958389856
2012-10-01,100.85,107.0,86.24,1719.1,7.098,101.17333333333333,106.85333333333331,4.613634264400221,4.672828834461906,0.519999999999996,10,2012,-1.3500000000000085,100.5675,0.714577115884315,111.28916666666665,5.5152935442085465
2012-11-01,100.47,107.08,88.91,1712.7,7.095,100.52999999999999,106.96333333333332,4.609859175474223,4.673576218652152,0.0799999999999983,11,2012,-0.37999999999999545,100.57416666666666,0.7131423207867162,110.22666666666667,4.915906155871351
2012-12-01,100.27,106.81,91.82,1675.8,6.975,100.66333333333334,106.98666666666666,4.607866547535834,4.671051555101604,-0.269999999999996,12,2012,-0.20000000000000284,100.5525,0.7185354422840027,109.28333333333335,4.310240097369304
2013-01-01,101.25,107.07,97.49,1662.0,6.989,100.94666666666666,106.96666666666665,4.617592705986649,4.673482826170178,0.2599999999999909,1,2013,0.980000000000004,100.57333333333332,0.7360994662696875,108.43333333333334,3.5265469418871667
2013-02-01,101.32,107.02,92.05,1578.1,7.035,100.79333333333334,106.90999999999998,4.618283825133474,4.673015732883159,-0.04999999999999716,2,2013,0.06999999999999318,100.56916666666667,0.731305909543622,107.64833333333333,2.4734585037346593
2013-03-01,99.81,106.64,97.23,1595.7,7.025,100.38333333333333,106.75666666666666,4.603268378698495,4.6694586758704535,-0.37999999999999545,3,2013,-1.509999999999991,100.54,0.7556815105946575,107.0225,1.3929375434671414
2013-04-01,100.02,106.61,93.46,1472.1,7.25,99.92333333333333,106.53666666666665,4.605370165990758,4.669177315962384,-0.030000000000001137,4,2013,0.20999999999999375,100.53750000000001,0.7574973747329755,106.695,0.8449475508199357
2013-05-01,99.94,106.36,91.97,1393.0,7.723,100.00333333333333,106.55333333333333,4.604570005916059,4.666829566374819,-0.25,5,2013,-0.0799999999999983,100.5175,0.770845167804367,106.53000000000002,0.6696539133288132
2013-06-01,100.05,106.69,96.56,1223.7,8.11,100.08666666666666,106.77999999999999,4.605670061029742,4.66992743320337,0.3299999999999983,6,2013,0.10999999999999943,100.54333333333334,0.7472535572267008,106.5125,0.6618036649258743
2013-07-01,100.27,107.29,105.03,1313.0,8.27,100.38333333333333,107.15999999999998,4.607866547535834,4.675535448648655,0.6000000000000085,7,2013,0.21999999999999886,100.58999999999999,0.706875326541269,106.67416666666668,0.5844415879257818
2013-08-01,100.83,107.5,107.65,1396.1,8.739,100.71999999999998,107.02999999999999,4.613435930405124,4.677490847567717,0.20999999999999375,8,2013,0.5600000000000023,100.60666666666667,0.7102539025311378,106.87916666666666,0.3390483562547446
2013-09-01,101.06,106.3,102.33,1327.0,9.119,100.79333333333334,106.57333333333332,4.615714399863762,4.666265285347902,-1.2000000000000028,9,2013,0.23000000000000398,100.51166666666666,0.5315129919448138,106.86416666666668,0.36154864713158597
2013-10-01,100.49,105.92,96.38,1323.7,9.38,100.63,106.0,4.610058220060867,4.662684092188698,-0.37999999999999545,10,2013,-0.5700000000000074,100.48166666666667,0.5207308383998991,106.77416666666666,0.4486030505580026
